item,importance_mean,satisfaction_mean,gap,classification
I01,5.68918,4.92312,0.7660600000000004,Challenge
I02,5.6593800000000005,4.89526,0.7641200000000001,—
I03,5.6364399999999995,4.9118,0.7246399999999991,—
I04,5.6949,4.98926,0.7056399999999998,Strength
I05,5.67266,4.956600000000001,0.7160599999999988,—
I06,5.682519999999999,4.952559999999999,0.7299600000000002,—
I07,5.71154,4.934219999999999,0.7773200000000013,Challenge
I08,5.69516,4.958699999999999,0.7364600000000001,Strength
I09,5.67582,4.95064,0.7251799999999999,—
I10,5.68142,4.931280000000001,0.7501399999999991,—
I11,5.69984,4.96562,0.7342199999999997,Strength
I12,5.71572,4.9565,0.75922,—
